	Sentence #	Word	POS	Tag
172	8.0	to	TO	O
173	8.0	Iran	NNP	B-gpe
174	8.0	's	POS	O
175	8.0	resumption	NN	O
176	8.0	of	IN	O
177	8.0	low-level	JJ	O
178	8.0	uranium	NN	O
179	8.0	conversion	NN	O
180	8.0	.	.	O
181	9.0	Iran	NNP	B-gpe
182	9.0	this	DT	O
183	9.0	week	NN	O
184	9.0	restarted	VBD	O
185	9.0	parts	NNS	O
186	9.0	of	IN	O
187	9.0	the	DT	O
188	9.0	conversion	NN	O
189	9.0	process	NN	O
190	9.0	at	IN	O
191	9.0	its	PRP$	O
192	9.0	Isfahan	NNP	B-geo
193	9.0	nuclear	JJ	O
194	9.0	plant	NN	O
195	9.0	.	.	O
196	10.0	Iranian	JJ	B-gpe
197	10.0	officials	NNS	O
198	10.0	say	VBP	O
199	10.0	they	PRP	O
200	10.0	expect	VBP	O
201	10.0	to	TO	O
202	10.0	get	VB	O
203	10.0	access	NN	O
204	10.0	to	TO	O
205	10.0	sealed	JJ	O
206	10.0	sensitive	JJ	O
207	10.0	parts	NNS	O
208	10.0	of	IN	O
209	10.0	the	DT	O
210	10.0	plant	NN	O
211	10.0	Wednesday	NNP	B-tim
212	10.0	,	,	O
213	10.0	after	IN	O
214	10.0	an	DT	O
215	10.0	IAEA	NNP	B-org
216	10.0	surveillance	NN	O
217	10.0	system	NN	O
218	10.0	begins	VBZ	O
219	10.0	functioning	VBG	O
220	10.0	.	.	O
221	11.0	The	DT	O
222	11.0	step	NN	O
223	11.0	will	MD	O
224	11.0	allow	VB	O
225	11.0	the	DT	O
226	11.0	facility	NN	O
227	11.0	to	TO	O
228	11.0	operate	VB	O
229	11.0	at	IN	O
230	11.0	full	JJ	O
231	11.0	capacity	NN	O
232	11.0	.	.	O
233	12.0	The	DT	O
234	12.0	European	NNP	B-org
235	12.0	Union	NNP	I-org
236	12.0	,	,	O
237	12.0	with	IN	O
238	12.0	U.S.	NNP	B-gpe
239	12.0	backing	NN	O
240	12.0	,	,	O
241	12.0	has	VBZ	O
242	12.0	threatened	VBN	O
243	12.0	to	TO	O
244	12.0	refer	VB	O
245	12.0	Iran	NNP	B-gpe
246	12.0	to	TO	O
247	12.0	the	DT	O
248	12.0	U.N.	NNP	B-org
249	12.0	Security	NNP	I-org
250	12.0	Council	NNP	I-org
251	12.0	,	,	O
252	12.0	which	WDT	O
253	12.0	could	MD	O
254	12.0	impose	VB	O
255	12.0	sanctions	NNS	O
256	12.0	if	IN	O
257	12.0	it	PRP	O
258	12.0	finds	VBZ	O
259	12.0	Tehran	NNP	B-gpe
260	12.0	has	VBZ	O
261	12.0	violated	VBN	O
262	12.0	the	DT	O
263	12.0	Nuclear	NNP	B-art
264	12.0	Non-Proliferation	NNP	I-art
265	12.0	treaty	NN	O
266	12.0	.	.	O
267	13.0	Iran	NNP	B-gpe
268	13.0	's	POS	O
269	13.0	new	JJ	O
270	13.0	President	NNP	B-per
271	13.0	Mahmoud	NNP	I-per
272	13.0	Ahmadinejad	NNP	I-per
273	13.0	said	VBD	O
274	13.0	Tuesday	NNP	B-tim
275	13.0	that	IN	O
276	13.0	European	JJ	B-gpe
277	13.0	incentives	NNS	O
278	13.0	aimed	VBN	O
279	13.0	at	IN	O
280	13.0	persuading	VBG	O
281	13.0	Iran	NNP	B-gpe
282	13.0	to	TO	O
283	13.0	end	VB	O
284	13.0	its	PRP$	O
285	13.0	nuclear	JJ	O
286	13.0	fuel	NN	O
287	13.0	program	NN	O
288	13.0	are	VBP	O
289	13.0	an	DT	O
290	13.0	insult	NN	O
291	13.0	to	TO	O
292	13.0	the	DT	O
293	13.0	Iranian	JJ	B-gpe
294	13.0	nation	NN	O
295	13.0	.	.	O
296	14.0	Two	CD	O
297	14.0	Germans	NNS	B-gpe
298	14.0	and	CC	O
299	14.0	four	CD	O
300	14.0	Nigerian	JJ	B-gpe
301	14.0	oil	NN	O
302	14.0	workers	NNS	O
303	14.0	were	VBD	O
304	14.0	kidnapped	VBN	O
305	14.0	by	IN	O
306	14.0	armed	JJ	O
307	14.0	militants	NNS	O
308	14.0	during	IN	O
309	14.0	a	DT	O
310	14.0	raid	NN	O
311	14.0	on	IN	O
312	14.0	a	DT	O
313	14.0	boat	NN	O
314	14.0	in	IN	O
315	14.0	Nigeria	NNP	B-geo
316	14.0	's	POS	O
317	14.0	southern	JJ	O
318	14.0	oil-rich	JJ	O
319	14.0	Delta	NNP	B-geo
320	14.0	region	NN	O
321	14.0	.	.	O
322	15.0	An	DT	O
323	15.0	official	NN	O
324	15.0	with	IN	O
325	15.0	the	DT	O
326	15.0	German	JJ	B-gpe
327	15.0	firm	NN	O
328	15.0	Bilfinger	NNP	B-org
329	15.0	Berger	NNP	I-org
330	15.0	,	,	O
331	15.0	Thomas	NNP	B-per
332	15.0	Horbach	NNP	I-per
333	15.0	,	,	O
334	15.0	said	VBD	O
335	15.0	the	DT	O
336	15.0	gunmen	NNS	O
337	15.0	stopped	VBD	O
338	15.0	the	DT	O
339	15.0	supply	NN	O
340	15.0	boat	NN	O
341	15.0	Wednesday	NNP	B-tim
342	15.0	as	IN	O
343	15.0	it	PRP	O
344	15.0	sailed	VBD	O
345	15.0	from	IN	O
346	15.0	Delta	NNP	B-geo
347	15.0	State	NNP	I-geo
348	15.0	to	TO	O
349	15.0	Bayelsa	NNP	B-geo
350	15.0	State	NNP	I-geo
351	15.0	to	TO	O
352	15.0	inspect	VB	O
353	15.0	an	DT	O
354	15.0	offshore	JJ	O
355	15.0	oil	NN	O
356	15.0	field	NN	O
357	15.0	owned	VBN	O
358	15.0	by	IN	O
359	15.0	Royal-Dutch	NNP	B-org
360	15.0	Shell	NNP	I-org
361	15.0	.	.	O
362	16.0	The	DT	O
363	16.0	German	JJ	B-gpe
364	16.0	firm	NN	O
365	16.0	works	VBZ	O
366	16.0	as	IN	O
367	16.0	a	DT	O
368	16.0	sub-contractor	NN	O
369	16.0	for	IN	O
370	16.0	Shell	NNP	B-org
371	16.0	.	.	O
372	17.0	Militant	JJ	O
373	17.0	groups	NNS	O
374	17.0	frequently	RB	O
375	17.0	attack	VBP	O
376	17.0	oil	NN	O
377	17.0	operations	NNS	O
378	17.0	in	IN	O
379	17.0	the	DT	O
380	17.0	Niger	NNP	B-geo
381	17.0	Delta	NNP	I-geo
382	17.0	to	TO	O
383	17.0	demand	VB	O
384	17.0	social	JJ	O
385	17.0	services	NNS	O
386	17.0	and	CC	O
387	17.0	better	JJR	O
388	17.0	job	NN	O
389	17.0	opportunities	NNS	O
390	17.0	from	IN	O
391	17.0	multinational	JJ	O
392	17.0	companies	NNS	O
393	17.0	.	.	O
394	18.0	Poor	JJ	O
395	18.0	residents	NNS	O
396	18.0	often	RB	O
397	18.0	complain	VBP	O
398	18.0	they	PRP	O
399	18.0	have	VBP	O
400	18.0	been	VBN	O
401	18.0	cheated	VBN	O
402	18.0	out	IN	O
403	18.0	of	IN	O
404	18.0	the	DT	O
405	18.0	huge	JJ	O
406	18.0	riches	NNS	O
407	18.0	extracted	VBN	O
408	18.0	from	IN	O
409	18.0	their	PRP$	O
410	18.0	tribal	JJ	O
411	18.0	lands	NNS	O
412	18.0	-	:	O
413	18.0	where	WRB	O
414	18.0	the	DT	O
415	18.0	bulk	NN	O
416	18.0	of	IN	O
417	18.0	Nigeria	NNP	B-gpe
418	18.0	's	POS	O
419	18.0	2.3	CD	O
420	18.0	million	CD	O
421	18.0	barrels	NNS	O
422	18.0	of	IN	O
423	18.0	petroleum	NN	O
424	18.0	are	VBP	O
425	18.0	pumped	VBN	O
426	18.0	daily	RB	O
427	18.0	.	.	O
428	19.0	Suspected	JJ	O
429	19.0	Islamist	JJ	O
430	19.0	rebels	NNS	O
431	19.0	have	VBP	O
432	19.0	fired	VBN	O
433	19.0	mortar	NN	O
434	19.0	shells	NNS	O
435	19.0	at	IN	O
436	19.0	the	DT	O
437	19.0	palace	NN	O
438	19.0	used	VBN	O
439	19.0	by	IN	O
440	19.0	Somalia	NNP	B-geo
441	19.0	's	POS	O
442	19.0	interim	JJ	O
443	19.0	President	NNP	B-per
444	19.0	Abdullahi	NNP	I-per
445	19.0	Yusuf	NNP	I-per
446	19.0	Ahmad	NNP	I-per
447	19.0	.	.	O
448	20.0	It	PRP	O
449	20.0	was	VBD	O
450	20.0	not	RB	O
451	20.0	immediately	RB	O
452	20.0	clear	JJ	O
453	20.0	if	IN	O
454	20.0	the	DT	O
455	20.0	president	NN	O
456	20.0	was	VBD	O
457	20.0	in	IN	O
458	20.0	the	DT	O
459	20.0	palace	NN	O
460	20.0	in	IN	O
461	20.0	Mogadishu	NNP	B-geo
462	20.0	when	WRB	O
463	20.0	the	DT	O
464	20.0	attack	NN	O
465	20.0	occurred	VBD	O
466	20.0	or	CC	O
467	20.0	if	IN	O
468	20.0	anyone	DT	O
469	20.0	was	VBD	O
470	20.0	hurt	VBN	O
471	20.0	.	.	O
472	21.0	Local	JJ	O
473	21.0	news	NN	O
474	21.0	reports	NNS	O
475	21.0	said	VBD	O
476	21.0	at	IN	O
477	21.0	least	JJS	O
478	21.0	five	CD	O
479	21.0	mortar	NN	O
480	21.0	shells	NNS	O
481	21.0	hit	VBD	O
482	21.0	the	DT	O
483	21.0	palace	NN	O
484	21.0	compound	NN	O
485	21.0	and	CC	O
486	21.0	other	JJ	O
487	21.0	mortars	NNS	O
488	21.0	were	VBD	O
489	21.0	fired	VBN	O
490	21.0	elsewhere	RB	O
491	21.0	in	IN	O
492	21.0	Mogadishu	NNP	B-geo
493	21.0	Wednesday	NNP	B-tim
494	21.0	.	.	O
495	22.0	The	DT	O
496	22.0	attacks	NNS	O
497	22.0	occurred	VBD	O
498	22.0	after	IN	O
499	22.0	the	DT	O
500	22.0	government	NN	O
501	22.0	said	VBD	O
502	22.0	it	PRP	O
503	22.0	will	MD	O
504	22.0	go	VB	O
505	22.0	ahead	RB	O
506	22.0	with	IN	O
507	22.0	a	DT	O
508	22.0	reconciliation	NN	O
509	22.0	conference	NN	O
510	22.0	to	TO	O
511	22.0	which	WDT	O
512	22.0	more	JJR	O
513	22.0	than	IN	O
514	22.0	1,300	CD	O
515	22.0	Somali	JJ	B-gpe
516	22.0	elders	NNS	O
517	22.0	,	,	O
518	22.0	warlords	NNS	O
519	22.0	and	CC	O
520	22.0	politicians	NNS	O
521	22.0	are	VBP	O
522	22.0	invited	VBN	O
523	22.0	.	.	O
524	23.0	Iraqi	JJ	B-gpe
525	23.0	military	JJ	O
526	23.0	officials	NNS	O
527	23.0	say	VBP	O
528	23.0	tanks	NNS	O
529	23.0	and	CC	O
530	23.0	troops	NNS	O
531	23.0	have	VBP	O
532	23.0	arrived	VBN	O
533	23.0	in	IN	O
534	23.0	the	DT	O
535	23.0	northern	JJ	O
536	23.0	city	NN	O
537	23.0	Mosul	NNP	B-geo
538	23.0	for	IN	O
539	23.0	a	DT	O
540	23.0	new	JJ	O
541	23.0	offensive	NN	O
542	23.0	against	IN	O
543	23.0	al	NNP	B-org
544	23.0	Qaida	NNP	I-org
545	23.0	in	IN	I-org
546	23.0	Iraq	NNP	I-org
547	23.0	fighters	NNS	O
548	23.0	.	.	O
549	24.0	Officials	NNS	O
550	24.0	will	MD	O
551	24.0	not	RB	O
552	24.0	say	VB	O
553	24.0	how	WRB	O
554	24.0	many	JJ	O
555	24.0	troops	NNS	O
556	24.0	have	VBP	O
557	24.0	arrived	VBN	O
558	24.0	in	IN	O
559	24.0	the	DT	O
560	24.0	Sunni	NNP	B-geo
561	24.0	Arab	NNP	I-geo
562	24.0	and	CC	O
563	24.0	Kurdish	NNP	B-geo
564	24.0	city	NN	O
565	24.0	,	,	O
566	24.0	where	WRB	O
567	24.0	bombings	NNS	O
568	24.0	last	JJ	O
569	24.0	week	NN	O
570	24.0	killed	VBD	O
571	24.0	at	IN	O
572	24.0	least	JJS	O
573	24.0	34	CD	O
574	24.0	people	NNS	O
575	24.0	and	CC	O
576	24.0	wounded	VBD	O
577	24.0	more	JJR	O
578	24.0	than	IN	O
579	24.0	200	CD	O
580	24.0	.	.	O
581	25.0	U.S.	NNP	B-gpe
582	25.0	commanders	NNS	O
583	25.0	have	VBP	O
584	25.0	not	RB	O
585	25.0	explained	VBN	O
586	25.0	how	WRB	O
587	25.0	American	JJ	B-gpe
588	25.0	forces	NNS	O
589	25.0	will	MD	O
590	25.0	participate	VB	O
591	25.0	in	IN	O
592	25.0	the	DT	O
593	25.0	offensive	NN	O
594	25.0	.	.	O
595	26.0	Officials	NNS	O
596	26.0	say	VBP	O
597	26.0	al	NNP	B-org
598	26.0	Qaida	NNP	I-org
599	26.0	in	IN	I-org
600	26.0	Iraq	NNP	I-org
601	26.0	fighters	NNS	O
602	26.0	have	VBP	O
603	26.0	fled	VBN	O
604	26.0	successful	JJ	O
605	26.0	campaigns	NNS	O
606	26.0	against	IN	O
607	26.0	them	PRP	O
608	26.0	in	IN	O
609	26.0	Anbar	NNP	B-geo
610	26.0	province	NN	O
611	26.0	and	CC	O
612	26.0	Baghdad	NNP	B-geo
613	26.0	to	TO	O
614	26.0	other	JJ	O
615	26.0	northern	JJ	O
616	26.0	provinces	NNS	O
617	26.0	.	.	O
618	27.0	Mosul	NNP	B-geo
619	27.0	is	VBZ	O
620	27.0	the	DT	O
621	27.0	largest	JJS	O
622	27.0	city	NN	O
623	27.0	north	NN	O
624	27.0	of	IN	O
625	27.0	Baghdad	NNP	B-geo
626	27.0	and	CC	O
627	27.0	has	VBZ	O
628	27.0	long	RB	O
629	27.0	been	VBN	O
630	27.0	a	DT	O
631	27.0	stronghold	NN	O
632	27.0	of	IN	O
633	27.0	Sunni	NNP	B-org
634	27.0	militant	JJ	O
635	27.0	fighters	NNS	O
636	27.0	.	.	O
637	28.0	In	IN	O
638	28.0	other	JJ	O
639	28.0	violence	NN	O
640	28.0	,	,	O
641	28.0	U.S.	NNP	B-gpe
642	28.0	officials	NNS	O
643	28.0	said	VBD	O
644	28.0	one	CD	O
645	28.0	American	JJ	B-gpe
646	28.0	soldier	NN	O
647	28.0	was	VBD	O
648	28.0	killed	VBN	O
649	28.0	while	IN	O
650	28.0	on	IN	O
651	28.0	patrol	NN	O
652	28.0	in	IN	O
653	28.0	Baghdad	NNP	B-geo
654	28.0	Sunday	NNP	B-tim
655	28.0	.	.	O
656	29.0	Egyptian	JJ	B-gpe
657	29.0	police	NNS	O
658	29.0	have	VBP	O
659	29.0	arrested	VBN	O
660	29.0	at	IN	O
661	29.0	least	JJS	O
662	29.0	16	CD	O
663	29.0	members	NNS	O
664	29.0	of	IN	O
665	29.0	the	DT	O
666	29.0	opposition	NN	O
667	29.0	Muslim	NNP	B-org
668	29.0	Brotherhood	NNP	I-org
669	29.0	as	IN	O
670	29.0	parts	NNS	O
671	29.0	of	IN	O
672	29.0	the	DT	O
673	29.0	country	NN	O
674	29.0	prepare	VB	O
675	29.0	for	IN	O
676	29.0	parliamentary	JJ	O
677	29.0	runoff	NN	O
678	29.0	elections	NNS	O
679	29.0	Saturday	NNP	B-tim
680	29.0	.	.	O
681	30.0	The	DT	O
682	30.0	arrests	NNS	O
683	30.0	occurred	VBD	O
684	30.0	Friday	NNP	B-tim
685	30.0	in	IN	O
686	30.0	Alexandria	NNP	B-geo
687	30.0	.	.	O
688	31.0	A	DT	O
689	31.0	spokesman	NN	O
690	31.0	for	IN	O
691	31.0	the	DT	O
692	31.0	Brotherhood	NNP	B-org
693	31.0	said	VBD	O
694	31.0	the	DT	O
695	31.0	arrests	NNS	O
696	31.0	are	VBP	O
697	31.0	an	DT	O
698	31.0	attempt	NN	O
699	31.0	to	TO	O
700	31.0	cut	VB	O
701	31.0	the	DT	O
702	31.0	Brotherhood	NNP	B-org
703	31.0	off	RB	O
704	31.0	from	IN	O
705	31.0	its	PRP$	O
706	31.0	supporters	NNS	O
707	31.0	and	CC	O
708	31.0	punishment	NN	O
709	31.0	for	IN	O
710	31.0	winning	VBG	O
711	31.0	parliamentary	JJ	O
712	31.0	seats	NNS	O
713	31.0	in	IN	O
714	31.0	earlier	JJR	O
715	31.0	elections	NNS	O
716	31.0	.	.	O
717	32.0	The	DT	O
718	32.0	Muslim	NNP	B-org
719	32.0	Brotherhood	NNP	I-org
720	32.0	has	VBZ	O
721	32.0	tripled	VBN	O
722	32.0	its	PRP$	O
723	32.0	strength	NN	O
724	32.0	in	IN	O
725	32.0	parliament	NN	O
726	32.0	in	IN	O
727	32.0	recent	JJ	O
728	32.0	elections	NNS	O
729	32.0	,	,	O
730	32.0	raising	VBG	O
731	32.0	the	DT	O
732	32.0	party	NN	O
733	32.0	's	POS	O
734	32.0	total	NN	O
735	32.0	to	TO	O
736	32.0	47	CD	O
737	32.0	seats	NNS	O
738	32.0	.	.	O
739	33.0	In	IN	O
740	33.0	Saturday	NNP	B-tim
741	33.0	's	POS	O
742	33.0	elections	NNS	O
743	33.0	,	,	O
744	33.0	voters	NNS	O
745	33.0	will	MD	O
746	33.0	cast	VB	O
747	33.0	ballots	NNS	O
748	33.0	in	IN	O
749	33.0	nine	CD	O
750	33.0	provinces	NNS	O
751	33.0	where	WRB	O
752	33.0	no	DT	O
753	33.0	candidate	NN	O
754	33.0	won	VBD	O
755	33.0	a	DT	O
756	33.0	majority	NN	O
757	33.0	in	IN	O
758	33.0	the	DT	O
759	33.0	previous	JJ	O
760	33.0	round	NN	O
761	33.0	of	IN	O
762	33.0	voting	NN	O
763	33.0	.	.	O
764	34.0	The	DT	O
765	34.0	Muslim	NNP	B-org
766	34.0	Brotherhood	NNP	I-org
767	34.0	is	VBZ	O
768	34.0	banned	VBN	O
769	34.0	as	IN	O
770	34.0	a	DT	O
771	34.0	political	JJ	O
772	34.0	party	NN	O
773	34.0	,	,	O
774	34.0	but	CC	O
775	34.0	it	PRP	O
776	34.0	endorses	VBZ	O
777	34.0	so-called	JJ	O
778	34.0	independent	JJ	O
779	34.0	candidates	NNS	O
780	34.0	whose	WP$	O
781	34.0	allegiance	NN	O
782	34.0	to	IN	O
783	34.0	the	DT	O
784	34.0	party	NN	O
785	34.0	is	VBZ	O
786	34.0	known	VBN	O
787	34.0	to	TO	O
788	34.0	voters	NNS	O
789	34.0	.	.	O
790	35.0	Hardline	JJ	O
791	35.0	lawmakers	NNS	O
792	35.0	in	IN	O
793	35.0	Pakistan	NNP	B-geo
794	35.0	's	POS	O
795	35.0	North	NNP	B-geo
796	35.0	West	NNP	I-geo
797	35.0	Frontier	NNP	I-geo
798	35.0	Province	NNP	I-geo
799	35.0	have	VBP	O
800	35.0	pushed	VBN	O
801	35.0	through	IN	O
802	35.0	a	DT	O
803	35.0	law	NN	O
804	35.0	that	WDT	O
805	35.0	aims	VBZ	O
806	35.0	to	TO	O
807	35.0	ensure	VB	O
808	35.0	""""	``	O
809	35.0	Islamic	JJ	O
810	35.0	correctness	NN	O
811	35.0	""""	``	O
812	35.0	in	IN	O
813	35.0	public	JJ	O
814	35.0	places	NNS	O
815	35.0	and	CC	O
816	35.0	establishes	VBZ	O
817	35.0	a	DT	O
818	35.0	morality	NN	O
819	35.0	police	NN	O
820	35.0	to	TO	O
821	35.0	enforce	VB	O
822	35.0	decent	JJ	O
823	35.0	behavior	NN	O
824	35.0	.	.	O
825	36.0	A	DT	O
826	36.0	six-party	JJ	O
827	36.0	coalition	NN	O
828	36.0	of	IN	O
829	36.0	religious	JJ	O
830	36.0	based	VBN	O
831	36.0	parties	NNS	O
832	36.0	,	,	O
833	36.0	the	DT	O
834	36.0	Mutahida	NNP	B-org
835	36.0	Majlis-e-Amal	NNP	I-org
836	36.0	,	,	O
837	36.0	dominates	VBZ	O
838	36.0	the	DT	O
839	36.0	provincial	JJ	O
840	36.0	assembly	NN	O
841	36.0	,	,	O
842	36.0	so	IN	O
843	36.0	the	DT	O
844	36.0	bill	NN	O
845	36.0	was	VBD	O
846	36.0	easily	RB	O
847	36.0	passed	VBN	O
848	36.0	Thursday	NNP	B-tim
849	36.0	by	IN	O
850	36.0	a	DT	O
851	36.0	vote	NN	O
852	36.0	of	IN	O
853	36.0	68-34	CD	O
854	36.0	.	.	O
855	37.0	The	DT	O
856	37.0	provincial	JJ	O
857	37.0	governor	NN	O
858	37.0	must	MD	O
859	37.0	still	RB	O
860	37.0	sign	VB	O
861	37.0	the	DT	O
862	37.0	bill	NN	O
863	37.0	before	IN	O
864	37.0	it	PRP	O
865	37.0	becomes	VBZ	O
866	37.0	law	NN	O
867	37.0	,	,	O
868	37.0	a	DT	O
869	37.0	step	NN	O
870	37.0	seen	VBN	O
871	37.0	only	RB	O
872	37.0	as	IN	O
873	37.0	a	DT	O
874	37.0	formality	NN	O
875	37.0	.	.	O
876	38.0	The	DT	O
877	38.0	proposed	JJ	O
878	38.0	law	NN	O
879	38.0	calls	VBZ	O
880	38.0	for	IN	O
881	38.0	setting	VBG	O
882	38.0	up	RP	O
883	38.0	a	DT	O
884	38.0	""""	``	O
885	38.0	religious	JJ	O
886	38.0	police	NN	O
887	38.0	force	NN	O
888	38.0	""""	``	O
889	38.0	to	TO	O
890	38.0	make	VB	O
891	38.0	sure	JJ	O
892	38.0	people	NNS	O
893	38.0	adhere	VBP	O
894	38.0	to	TO	O
895	38.0	Islamic	JJ	O
896	38.0	values	NNS	O
897	38.0	in	IN	O
898	38.0	public	JJ	O
899	38.0	places	NNS	O
900	38.0	,	,	O
901	38.0	and	CC	O
902	38.0	entertainment	NN	O
903	38.0	outlets	NNS	O
904	38.0	close	RB	O
905	38.0	during	IN	O
906	38.0	weekly	JJ	O
907	38.0	Friday	NNP	B-tim
908	38.0	prayers	NNS	O
909	38.0	.	.	O
910	39.0	Violators	NNS	O
911	39.0	could	MD	O
912	39.0	be	VB	O
913	39.0	jailed	VBN	O
914	39.0	for	IN	O
915	39.0	up	RB	O
916	39.0	to	TO	O
917	39.0	six	CD	O
918	39.0	months	NNS	O
919	39.0	.	.	O
920	40.0	The	DT	O
921	40.0	opposition	NN	O
922	40.0	has	VBZ	O
923	40.0	denounced	VBN	O
924	40.0	the	DT	O
925	40.0	measure	NN	O
926	40.0	,	,	O
927	40.0	comparing	VBG	O
928	40.0	it	PRP	O
929	40.0	to	TO	O
930	40.0	the	DT	O
931	40.0	draconian	JJ	O
932	40.0	rule	NN	O
933	40.0	of	IN	O
934	40.0	the	DT	O
935	40.0	former	JJ	O
936	40.0	Taleban	NNP	B-org
937	40.0	in	IN	O
938	40.0	neighboring	VBG	O
939	40.0	Afghanistan	NNP	B-geo
940	40.0	.	.	O
941	41.0	British	JJ	B-gpe
942	41.0	police	NNS	O
943	41.0	say	VBP	O
944	41.0	they	PRP	O
945	41.0	have	VBP	O
946	41.0	arrested	VBN	O
947	41.0	a	DT	O
948	41.0	man	NN	O
949	41.0	who	WP	O
950	41.0	dressed	VBD	O
